call_id,ticker,data_call,n_gestores,n_analistas,distancia_de_tom,sinal_limpo,tom_da_call,ret_1mes,ret_3meses,no_sinal_operavel,motivo
AAPL_2006Q1,AAPL,2006-01-19,6.0,15.0,0.3903,,0.4004,-0.1314,-0.192,False,"distância de tom OK, mas histórico curto para residualizar (<250 calls anteriores)"
AAPL_2006Q2,AAPL,2006-04-20,8.0,16.0,0.2981,,0.2932,-0.054,-0.1128,False,"distância de tom OK, mas histórico curto para residualizar (<250 calls anteriores)"
AAPL_2006Q3,AAPL,2006-07-19,22.0,3.0,0.3191,,0.3485,0.1088,0.2187,False,"distância de tom OK, mas histórico curto para residualizar (<250 calls anteriores)"
AAPL_2006Q4,AAPL,2006-10-19,4.0,23.0,0.3022,,0.3917,0.0801,0.095,False,"distância de tom OK, mas histórico curto para residualizar (<250 calls anteriores)"
AAPL_2007Q1,AAPL,2007-01-17,,,,,0.2975,-0.0748,-0.0185,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2007Q3,AAPL,2007-07-25,7.0,14.0,0.2749,,0.3094,-0.1017,0.2759,False,"distância de tom OK, mas histórico curto para residualizar (<250 calls anteriores)"
AAPL_2007Q4,AAPL,2007-10-22,14.0,5.0,0.2425,,0.3932,-0.1045,-0.2625,False,"distância de tom OK, mas histórico curto para residualizar (<250 calls anteriores)"
AAPL_2008Q1,AAPL,2008-01-22,12.0,10.0,0.3083,,0.3385,-0.1076,0.1763,False,"distância de tom OK, mas histórico curto para residualizar (<250 calls anteriores)"
AAPL_2008Q2,AAPL,2008-04-23,15.0,5.0,0.3627,0.0384,0.3669,0.0708,0.0056,True,classificada — no sinal operável
AAPL_2008Q3,AAPL,2008-07-21,,,,,0.4692,0.1646,-0.3463,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2008Q4,AAPL,2008-10-21,6.0,9.0,0.3341,0.0312,0.3164,-0.1138,-0.0925,True,classificada — no sinal operável
AAPL_2009Q1,AAPL,2009-01-21,10.0,7.0,0.2319,-0.0865,0.4882,0.0359,0.3802,True,classificada — no sinal operável
AAPL_2009Q2,AAPL,2009-04-23,,,,,0.3527,-0.0172,0.2662,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2009Q3,AAPL,2009-07-21,6.0,13.0,0.2868,0.0157,0.2796,0.0432,0.2032,True,classificada — no sinal operável
AAPL_2009Q4,AAPL,2009-10-19,4.0,16.0,0.274,0.0589,0.423,0.0319,0.0555,True,classificada — no sinal operável
AAPL_2010Q1,AAPL,2010-01-25,4.0,16.0,0.2702,0.0601,0.4723,-0.0257,0.3086,True,classificada — no sinal operável
AAPL_2010Q2,AAPL,2010-04-20,4.0,14.0,0.3177,0.0762,0.4811,-0.0404,-0.0267,True,classificada — no sinal operável
AAPL_2010Q3,AAPL,2010-07-20,,,,,0.4209,-0.0453,0.1996,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2010Q4,AAPL,2010-10-18,12.0,1.0,0.2675,,0.5078,-0.006,0.1228,False,"distância de tom OK, mas confundidor ausente (analyst_tone_distance)"
AAPL_2011Q1,AAPL,2011-01-18,3.0,12.0,0.4369,0.2291,0.5609,0.0424,-0.0474,True,classificada — no sinal operável
AAPL_2011Q2,AAPL,2011-04-20,,,,,0.428,-0.0557,0.091,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2011Q3,AAPL,2011-07-19,,,,,0.6328,-0.0396,0.0603,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2011Q4,AAPL,2011-10-18,,,,,0.5094,-0.0413,0.0658,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2012Q1,AAPL,2012-01-24,,,,,0.4867,0.1363,0.2329,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2012Q2,AAPL,2012-04-24,,,,,0.3954,-0.0732,-0.0239,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2012Q3,AAPL,2012-07-24,,,,,0.4888,0.1693,0.1084,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2012Q4,AAPL,2012-10-25,,,,,0.4521,-0.0391,-0.247,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2013Q1,AAPL,2013-01-23,,,,,0.8652,-0.0143,-0.1134,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2013Q2,AAPL,2013-04-23,,,,,0.5469,0.1289,0.0717,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2013Q3,AAPL,2013-07-23,,,,,0.4203,0.1521,0.1956,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2013Q4,AAPL,2013-10-28,,,,,0.5808,0.0005,-0.0608,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2014Q1,AAPL,2014-01-27,,,,,0.6727,0.023,0.1747,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2014Q2,AAPL,2014-04-23,,,,,0.6589,0.0747,0.204,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2014Q3,AAPL,2014-07-22,,,,,0.6483,0.0671,0.0367,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2014Q4,AAPL,2014-10-20,,,,,0.4837,0.1257,0.068,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2015Q1,AAPL,2015-01-27,,,,,0.5528,0.1131,0.1143,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2015Q2,AAPL,2015-04-27,4.0,8.0,0.4137,0.1037,0.5869,-0.0139,-0.0831,True,classificada — no sinal operável
AAPL_2015Q3,AAPL,2015-07-21,,,,,0.5763,-0.053,-0.08,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2015Q4,AAPL,2015-10-27,13.0,,0.2314,,0.6036,0.0137,-0.1919,False,"distância de tom OK, mas confundidor ausente (analyst_tone, analyst_tone_distance)"
AAPL_2016Q1,AAPL,2016-01-26,,,,,0.402,0.013,0.0924,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2016Q2,AAPL,2016-04-26,,,,,0.3657,0.044,0.0131,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2016Q3,AAPL,2016-07-26,,,,,0.5695,0.0417,0.1344,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2016Q4,AAPL,2016-10-25,,,,,0.5489,-0.0219,0.0722,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2017Q1,AAPL,2017-01-31,,,,,0.6123,0.0987,0.1663,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2017Q2,AAPL,2017-05-02,,,,,0.5954,0.0565,0.0349,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2017Q3,AAPL,2017-08-01,,,,,0.7076,0.0296,0.0508,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2017Q4,AAPL,2017-11-02,,,,,0.7427,-0.0206,-0.0974,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2018Q1,AAPL,2018-02-01,7.0,5.0,0.3669,0.0129,0.5995,0.0695,0.0699,True,classificada — no sinal operável
AAPL_2018Q2,AAPL,2018-05-01,,,,,0.6133,0.0705,0.0901,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2018Q3,AAPL,2018-07-31,5.0,5.0,0.3862,0.0847,0.6377,0.1237,0.0696,True,classificada — no sinal operável
AAPL_2018Q4,AAPL,2018-11-01,7.0,3.0,0.2801,-0.1685,0.5861,-0.1149,-0.1659,True,classificada — no sinal operável
AAPL_2019Q1,AAPL,2019-01-29,,,,,0.4662,0.0652,0.2345,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2019Q2,AAPL,2019-04-30,6.0,4.0,0.4194,0.0269,0.6869,-0.1472,-0.0014,True,classificada — no sinal operável
AAPL_2019Q3,AAPL,2019-07-30,5.0,5.0,0.2312,-0.1829,0.7061,-0.0467,0.1551,True,classificada — no sinal operável
AAPL_2019Q4,AAPL,2019-10-30,4.0,6.0,0.2869,-0.0401,0.6752,0.0842,0.2556,True,classificada — no sinal operável
AAPL_2020Q1,AAPL,2020-01-28,,,,,0.5999,-0.155,-0.1393,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2020Q2,AAPL,2020-04-30,,,,,0.5341,0.1274,0.3478,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
AAPL_2020Q3,AAPL,2020-07-30,,,,,0.6059,0.2153,0.0828,False,sem distância de tom: <2 gestores identificados ou Q&A não detectado
